director,screenwriter,title
Baek Ho-Min,Jung Ha-Yeon,Flames of Desire
Han Chul-Soo,Kim Yoon-Hee,My Little Baby
Kwon Suk Jang,Kim Do Woo,What's Up Fox?
Park Jin-Suk,Yoo Jung-Hee,Naked Fireman
Lee Tae-Gon,Moon Hee-Jung,The Last Scandal of My Life
[],[],Pets GO! Doggy Trip
Jung Yoon-Soo,Lee In-Hye,Single Wife
[],[],Showbiz Korea
[],[],Battle Trip
[],[],Hotelier
[],[],2018 MBC Music Festival
Lee Yoon-Jung,"Lee Jung-A, Oh Su-Jin",Triple
[],[],Love in Memory
[],[],Special Laws of Romance
[],[],2018 Idol Star Athletics Champio...
[],[],2018 Soribada Best K-Music Awards
"Im Tae-Woo, Kim Keun-Hong",Kim Woon-Gyung,The Duo
Hwang Kyung Sung,Hwang Kyung Sung,Love in Time
Kim Hyung-Suk,So Hyeon-Kyeong,My Life's Golden Age
[],[],Photo People in Tokyo
"Yu In-Sik, Ahn Gil-Ho",Hwang Joo-Ha,Mrs. Cop
[],[],Song Ji Hyo's Beautiful Life
 Writer: Park Sun-Jae,Park Sun-Jae,What’s With Money?
Joo Dong-Min,"Jung Na-Myung, Lee Jae-Yeon","Take Care of Us, Captain"
Choi Do-Hoon,"Ryo Kurashina (manga), Choi Yoon-Jung",The Empress
[],[],2018 SBS Gayo Daejeon_Music Fest...
Kim Sa-Hyeon,"Ku Sun-Kyung, Min Hyo-Jung",Attic Cat
Lee Dong-Hoon,Choi Ran,God’s Gift - 14 Days
Jung Ji-in,Jung Ha-yeon,Hold Me Tight
[],[],KBS Drama Special: White Christmas
Lee Gun-Joon,"Oh Sun-Hyung, Jung Do-Yoon",Grudge: The Revolt of Gumiho
Kim Yong Wan,Cha Hyun Jin,Love Cells 1
Lee Jung-Heum,Kim Hyun-Jung,Distorted
[],[],Music Bank K-Chart
Kim Suk-Yoon,"Lee Nam-Kyu, Kim Hyo-Shin, Lee Ye-Rim",My Wife Is Having an Affair This...
[],[],Traces of the Hand
Park Yong-Soon,Han Ji-Wan,Wanted
Im Tae-Woo,Kim Jung-Soo,Dandelion Family
[],[],Sister's Slam Dunk Season 2
[],[],2018 MBC Drama Awards
"Kim Min-jong,Kim Myung-jin,Im Kyung-sik",,Real Men
Choi Hyeong-Hun,Ha Myung-Hee,A Word From Warm Heart
"Park Hong-Kyun, Lee Min-Woo",Hwang Eun-Kyung,New Heart
[],[],Show! Music Core
Jianqi Huo, Producer:,Phoenix
"Hwang Ui-Kyung, Kim Won-Suk","Jo Jung-Joo, Yu Mi-Kyeong",The Partner
"Kim Nam-Won, Jung Dae-Yoon",Park Ji-Eun,Queen of Reversals
"Jang Hyung-Il, Kim Sang-Rae",Kim Shin-Hye,Immortal Classic
"Park Jae-Bum, Oh Hyun-Jong",Choi Hee-Ra,A New Leaf
Sa-hyeon Kim,Jung Yoo-Gyung,Secret
Lee Chul Min,Yoon Jin,Midnight's Girl
[],[],2018 KBS Drama Awards
Kim Dong Hyun,Kim Dong Hyun,Romance Blue
"Yu Jeong-Jun, Kim Sang-Hyub",Jo Yoon-Young,Cinderella Man
Park Sun Jae,Park Sun Jae,109 Strange Things
[],[],2016 Idol Star Athletics Champio...
[],[],God’s Workplace
Park Jin-Woo,Lee Jung-Hwa,to. Jenny
Hwang Kyung Sung,Hwang Kyung Sung,I Am
[],[],2017 Idol Star Athletics Champio...
[],[],Swan
Son Hyeong-Seok,"Yoon Eun-Kyung, Kim Eun-Hee",When It's at Night
"Hong Seok-Ku, Kim Jong-Yeon",Yoo Hyun-Mi,Golden Cross
[],[],Pops in Seoul
Park Sung-Soo,"Lee Sun-Mi, Kim Ki-Ho",Into the Sunlight
Lee Yoon-Ki,"Asuko Taira (short story), Park Eun-Young",One Fine Day
[],[],Idol King of Cooking
[],[],E-news Exclusive
Yoo Ho Jin,,Where On Earth??
"Kwon Gye-Hong, Yoo Jong-Sun",Hong Jin-Ah,Marry Him If You Dare
"Han Chul-Soo, Choi Sung-Bum",Yeo Ji-na,9 End 2 Outs
[],[],School Attack 2018
Jin-seok Lee,Kim Yi-Young,My Love Patzzi
Lee Jae-Kyu,"Hong Jin-Ah, Hong Ja-Ram",Beethoven Virus
"Kim Do-Hoon, Kim Sang-Hyub","Kim Young-Hyun, Kwon Eum-Mi",Royal Family
Kim Yun-Cheol,Do Hyun-Jung,Que Sera Sera
Kim Jong-Yeon,"Park In-Kwon (cartoon), Chae Seung-Dae",Master: God of Noodles
[],[],Section TV Entertainment News
Kim Hyeong-Sik,Park Kye-Ok,Cain and Abel
Shin Kyung-Soo,Kim Eun-Hee,Three Days
"Yun Sang-Ho, Hong Jong-Chan","Shin Jae-Won, Lee Ji-Hyang, Choi Lee-Rang, Lee Jae-Yoon, Jeong Hye-na (comic)",Tamra the Island
"Yu Cheol-Yong, Kim Young-Min","Kim Young-Hyun, Park Sang-Yeon",H.I.T.
[],[],Truth
Kim Hyung-Suk,In Eun-A,Matchmaker’s Lover
[],[],2014 Idol Star Athletics Champio...
Jo Hyun-Tak,"Moon Ji-Young, Ban Ki-Ri",Who Are You?
Lee Hyeong-Min,"Kim Jae-Eun, Lee Do-Young",Bad Boy
Kim Woo Sun,"Moon Ji Young (문지영), Moon Man Se (문만세)",Spark
Lee Jong-Han,"Park Jung-Hwa, Ko Eun-Nim",Heaven's Garden
Kim Jin-Min,Jung Ha-Yeon,Shin Don
[],[],Photo People in Paris
Kim Hyeong-Sik,Yoon Sun-Joo,Secret Door
[],[],Old Goodbye
Kim Soo-Young,"Lee Shi-Hyun, Choi Yeon-Ji, Jeon Yong-Sung, Park Hyun-Jin",The Color of a Woman
[],[],The Boss is Watching
Kim Young-Min,Kim Jung-Ae,Short
Lee Chul Ha,Ok Soo Dong Dal Pil,Eating Existence
Sun Hye-Yoon,"Park Eun-Jung, Choi Woo-Joo",Borg Mom
Kang Dae-Sun,Son Geun-Joo,"Sweet, Savage Family"
[],[],2018 SBS Entertainment Awards
[],[],Wanna One Go
Bae Kyung-Soo,Kim In-Young,Women in the Sun
"Lee Min-Soo, Lee Gye-Joon",Kim Ji-Soo,Scarlet Letter
Park Hyung-Ki,"Park Hye-Ryun, Park Ji-Eun",Get Karl! Oh Soo Jung
Lee Myung-Woo,Choi Soon-Sik,Bad Couple
Lee Myung-Woo,Park Kyung-Soo,Punch
Park Sung-Soo,"Kim Sol-Ji, Kim Ye-Ri",No Limit
Kim Pyung-Joong,Kim Do-Hyun,Goodbye Dear Wife
Lee Chang Soon,Kim Do Woo,Snowman
"Yu Jeong-Jun, Park Jae-Beom, Kim Do-Hoon","Joo Chan-Ok, Ku Seon-Kyeong, Ko Eun-Nim, Seo Sook-Hyang, Seo Hyeon-Jong, Kim Hyeon-Jong",Next
"Se-ho Jung, Joo Sung-Woo",Kum-ju Lee,Winter Bird
Yoon Jae-Moon,Seo Sook-Hyang,The Lawyers of the Great Republi...
Kim Yong Wan,Kim Myung Hyun,Love Cells 2
Jang Hang-Jun,Kim Eun-Hee,Sign
Jong-chang Kim,Jo Hee,"Again, My Love"
Hong Seok-Ku,"Kim Yong-Hee (novel), Yoon Kyung-Ah",Girls’ Generation 1979
[],[],2016 Idol Star Athletics Champio...
"Kim Sang-Ho, Kang Dae-Sun",In Eun-A,Soul
Kim Jin-Min,Jung Ha-Yeon,La Dolce Vita
Boo Sung-Chul,Oh Soo-Yun,Star’s Lover
Ko Dong-Sun,"Kim Ki-Ho, Lee Sun-Mi",Sweet Spy
"Ko Dong-Sun, Kim Min-Sik",Park Ji-Eun,Queen of Housewives
Oh Jong-Rok,Hae-yeong Park,"90 Days, Time to Love"
"Kang Sung-ah, Jang Seung-min",,Duet Song Festival
[],[],Seoul International Drama Awards...
Yun Sang-Ho,"Chiu Seong-Hyeon (comic), Kwon In-Chan",Birdie Buddy
"Kim Hyeong-Sik, Yu In-Sik",Lee Jung-Sun,Surgeon Bong Dal Hee
"No Do-Cheol, Seon Hye-Eun","Jo Jin-Kuk, Park Eun-Jeong, Nam Ji-Hyeon",Soulmate
Han Hee,"Kim Ki-Ho, Lee Sun-Mi",Super Rookie
Yoon Ryoo-Hae,Im Sang-Choon,Be Arrogant
"Kim Nam-Won, Son Hyeong-Seok",Park Ji-Hyun,"Good Job, Good Job"
[],[],Dunia: Into a New World
Lee Soon Ok,Lee Shi Eun,Boarding House 24
Kim Sang Ho,Kim In Young,The Secret Lover
Kim Do-Hoon,"Choi Yoon-Jung, Lee Ki-Won",Spotlight
Baek Ho-Min,Ha Chung-Ok,You Are Too Much
[],[],Wizard of Nowhere
[],[],The Traveler’s Guide to My Room
No Do-Cheol,"Choi Wan-Kyu, Kwon Eum-Mi, Chang No",General Hospital 2
Park Chan-Hong,Kim Ji-Woo,The Lucifer
[],[],28 Faces of the Moon
[],[],The Blue Sea
Im Tae-Woo,"Lee Sun-Hee, Lee Myung-Hee",Air City
[],[],2015 Idol Star Athletics Champio...
"Jeon Chang-Geun, No Sang-Hoon",Yoon Nan-Joong,The Queen of Office
[],[],Eat in Style
[],[],2018 KBS Entertainment Awards
Lee Min-Hong,Lee Ji-Hwan (novel),Hello! My Lady
[],[],My Little Kitchen Season 1
[],[],2018 MBC Entertainment Awards
[],[],2017 KBS Drama Awards
[],[],JYP’s Party People
[],[],Under the Black Moonlight
Jo Nam-Kook,Park Kyung-Soo,The Golden Empire
Lee Hyeong-Sun,Ha Cheong-Ok,"Woman of Matchless Beauty, Park ..."
Kwon Nam-gi,Kwon Nam-gi,Magic Cell Phone
"An Pan-Seok, Kwan-seok Han",Toyoko Yamasaki (novel),Behind the White Tower
Shin Woo-Cheol,Kim Eun-Sook,On Air
Kim Jong-Hyuk,Kim Kyu-Wan,Birth Secret
[],[],Tong: Memories
Cha Young-Hoon,Im Sang-Choon,Baek Hee Has Returned
[],[],Naughty Boy
[],[],Jumping Girl
Kwak Kyung-Taek,"Kwak Kyung-Taek, Han Seung-Woon, Kim Won-Suk","Friend, Our Legend"
"Kang Shin-Hyo, Baek Soo-Chan","Kang Eun-Jung, Seol Jun-Seok, Huh Young-Man (comic)",Tazza
[],[],Cheers To Me
[],[],2017 MBC Drama Awards
"Oh Kyung-Hoon, Lee Sung-Joon",Yoo Hyun-Mi,Home Sweet Home
[],[],Food Truck
[],[],2015 Idol Star Athletics Champio...
Jang Cheol-Soo,"Hun (comic), Kim Bang-Hyun, Yoon Hong-Gi",Secretly Greatly
Shin Ho-Kyun,Kim Ji-Soo,Medical Brothers
[],[],2017 SBS Gayo Daejeon_Music Fest...
[],[],Seoul International Drama Awards...
[],[],2017 SBS Drama Awards
Jung Dong-Yoon,Park Yeon-Hyuk,EXIT
Choi Do-Hoon,Park Sang-Hee,Riders: Catch Tomorrow
"Choi Yi-Sub, Choi Won-Suk",Kim Sun-Young,Miss Ripley
Park Sung-Soo,Kim Kyu-Wan,Dr. Gang
Lee Hyung Min,"Seo Dong Sung, Im Suk Jin",Falling for Challenge
Yu In-Sik,"Jang Young-Cheol, Jung Kyung-Soon",History of the Salaryman
"Yun Sang-Ho, Hong Jong-Chan","Shin Jae-Won, Lee Ji-Hyang, Choi Lee-Rang, Lee Jae-Yoon, Jeong Hye-na (comic)",Tamra the Island (Director's Cut)
Lee Jae-Sang,Kang Eun-Kyung,Dalja’s Spring
Kim Yong-Soo,Choi Hyo-Bi,Babysitter
[],[],12th Annual Soompi Awards
Bang Sang Yun,Choi Chang Yeol,Girl’s War
[],[],2017 KBS Song Festival
Kang In,Lee Hyo-Jin,Bing Goo
Lee Gwang-Young,Yoon Hyun-Ho,Puck
[],[],Fan Heart Attack Idol TV
[],[],2017 MBC Music Festival
Shin Seung-Yeob,Park Jung-Hee,Love Frequency 37.2
Han Hee,"Hong Jin-Ah, Hong Ja-Ram",Over the Rainbow
Park Heung-Sik,"Song Hye-Jin, Jung Yi-Hyun",My Sweet City
Ko Kuk-jin,,Idol Drama Operation Team
Ko Dong-Sun,Kim In-Young,Merry Mary
Lee Jong-Woo,Kim Jae-Hong,Heroes
[],[],Why Couldn’t You Get Married?
[],[],My Little Kitchen Season 2
[],[],Ballerino
Lee Jae-Gab,"Jung Sung-Hee, Lee Han-Ho",Moon Hee
"Lim Tae-Woo, Kwon Sung-Chan, Kim Kyung-Hee, Lee Dong-Yoon","Yeo Eon-Hee, Choi Yoon-Jung, Kim Soo-Jin",Special Investigation Team
Bang Sang Yun,Jeon Mi Hyun,Fortuneteller’s Secret Recipe
"Lee Joo-Hwan, Yoon Ji-Hoon, Lee Sang-Yeob",Choi Wan-Kyu,Light and Shadow
[],[],Hyena on the Keyboard
Jung Heum Moon,Park Eun Ah,Typically Women
[],[],Wanna City
[],[],2018 Changwon K-POP World Festival
[],[],SBS Super Concert in Suwon
Park Sung-Soo,In Jung-Ok,Ruler of Your Own World
[],[],Little Too Crazy
[],[],KPOP WORLD FESTIVAL 2017 in Chan...
[],[],KARA Project
"Kim Sang-Hyub, Kim Min-Sik",Kim Soo-Jin,Before and After: Plastic Surger...
Yoon Yeo-Chang,Kim Eun-Ha,It's Okay Because I Am A Mom
Park Chan Yool,"Ha Moo Soo, Jung Min Hwa",Big Heat
[],[],Swan Club
[],[],YoGoBaLa
"Kim Dae-Jin, Kang Dae-Sun, Lee Jung-Hyo",Kim Nam-Kyeong,Auction House
[],[],Wanna One Premier Show-Con
Lee Jae-Won,Yoon Young-Mi,Modern Housewives
[],[],Shindong's Kick Service
[],[],DMCF 2018
[],[],My Little Television
[],[],Topp Dogg: All-Kill
[],[],The Road to Seoul
[],[],I Came Alone
"Hwang In-Hyuk, Choi Yoon-Suk",Jung Hyun-Min,Assembly
[],[],2017 SBS Entertainment Awards
[],[],Ricky Traveling Alone
[],[],2016 DMC Festival
[],[],All Broadcasts of the World
[],[],2017 MBC Entertainment Awards
[],[],Join Us Korea
[],[],LC9's Life of Research
[],[],The Seg 101 Express
