director,screenwriter,title
Shin Kyung-Soo,Kim Eun-Hee,Three Days
[],[],Tamra the Island
[],[],H.I.T.
[],[],Truth
[],[],Matchmaker’s Lover
[],[],2014 Idol Star Athletics Champio...
[],[],Who Are You?
[],[],Bad Boy
[],[],Spark
[],[],Heaven's Garden
Kim Jin-Min,Jung Ha-Yeon,Shin Don
[],[],Photo People in Paris
Kim Hyeong-Sik,Yoon Sun-Joo,Secret Door
[],[],Old Goodbye
[],[],The Color of a Woman
[],[],The Boss is Watching
[],[],Short
[],[],Eating Existence
Sun Hye-Yoon,"Park Eun-Jung, Choi Woo-Joo",Borg Mom
[],[],"Sweet, Savage Family"
[],[],2018 SBS Entertainment Awards
[],[],Wanna One Go
Bae Kyung-Soo,Kim In-Young,Women in the Sun
[],[],Scarlet Letter
Park Hyung-Ki,"Park Hye-Ryun, Park Ji-Eun",Get Karl! Oh Soo Jung
Lee Myung-Woo,Choi Soon-Sik,Bad Couple
[],[],Punch
Park Sung-Soo,"Kim Sol-Ji, Kim Ye-Ri",No Limit
Kim Pyung-Joong,Kim Do-Hyun,Goodbye Dear Wife
[],[],Snowman
[],[],Next
[],[],Winter Bird
[],[],The Lawyers of the Great Republi...
[],[],Love Cells 2
[],[],Sign
Jong-chang Kim,Jo Hee,"Again, My Love"
[],[],Girls’ Generation 1979
[],[],2016 Idol Star Athletics Champio...
"Kim Sang-Ho, Kang Dae-Sun",In Eun-A,Soul
[],[],La Dolce Vita
[],[],Star’s Lover
Ko Dong-Sun,"Kim Ki-Ho, Lee Sun-Mi",Sweet Spy
[],[],Queen of Housewives
Oh Jong-Rok,Hae-yeong Park,"90 Days, Time to Love"
[],[],Duet Song Festival
[],[],Seoul International Drama Awards...
Yun Sang-Ho,"Chiu Seong-Hyeon (comic), Kwon In-Chan",Birdie Buddy
[],[],Surgeon Bong Dal Hee
[],[],Soulmate
Han Hee,"Kim Ki-Ho, Lee Sun-Mi",Super Rookie
[],[],Be Arrogant
"Kim Nam-Won, Son Hyeong-Seok",Park Ji-Hyun,"Good Job, Good Job"
[],[],Dunia: Into a New World
[],[],Boarding House 24
[],[],The Secret Lover
Kim Do-Hoon,"Choi Yoon-Jung, Lee Ki-Won",Spotlight
Baek Ho-Min,Ha Chung-Ok,You Are Too Much
[],[],Wizard of Nowhere
[],[],The Traveler’s Guide to My Room
No Do-Cheol,"Choi Wan-Kyu, Kwon Eum-Mi, Chang No",General Hospital 2
Park Chan-Hong,Kim Ji-Woo,The Lucifer
[],[],28 Faces of the Moon
[],[],The Blue Sea
Im Tae-Woo,"Lee Sun-Hee, Lee Myung-Hee",Air City
[],[],2015 Idol Star Athletics Champio...
"Jeon Chang-Geun, No Sang-Hoon",Yoon Nan-Joong,The Queen of Office
[],[],Eat in Style
[],[],2018 KBS Entertainment Awards
[],[],Hello! My Lady
[],[],My Little Kitchen Season 1
[],[],2018 MBC Entertainment Awards
[],[],2017 KBS Drama Awards
[],[],JYP’s Party People
[],[],Under the Black Moonlight
[],[],The Golden Empire
[],[],"Woman of Matchless Beauty, Park ..."
[],[],Magic Cell Phone
[],[],Behind the White Tower
Shin Woo-Cheol,Kim Eun-Sook,On Air
Kim Jong-Hyuk,Kim Kyu-Wan,Birth Secret
[],[],Tong: Memories
[],[],Baek Hee Has Returned
[],[],Naughty Boy
[],[],Jumping Girl
Kwak Kyung-Taek,"Kwak Kyung-Taek, Han Seung-Woon, Kim Won-Suk","Friend, Our Legend"
[],[],Tazza
[],[],Cheers To Me
[],[],2017 MBC Drama Awards
[],[],Home Sweet Home
[],[],Food Truck
[],[],2015 Idol Star Athletics Champio...
Jang Cheol-Soo,"Hun (comic), Kim Bang-Hyun, Yoon Hong-Gi",Secretly Greatly
Shin Ho-Kyun,Kim Ji-Soo,Medical Brothers
[],[],2017 SBS Gayo Daejeon_Music Fest...
[],[],Seoul International Drama Awards...
[],[],2017 SBS Drama Awards
[],[],EXIT
Choi Do-Hoon,Park Sang-Hee,Riders: Catch Tomorrow
"Choi Yi-Sub, Choi Won-Suk",Kim Sun-Young,Miss Ripley
Park Sung-Soo,Kim Kyu-Wan,Dr. Gang
[],[],Falling for Challenge
Yu In-Sik,"Jang Young-Cheol, Jung Kyung-Soon",History of the Salaryman
[],[],Tamra the Island (Director's Cut)
[],[],Dalja’s Spring
[],[],Babysitter
[],[],12th Annual Soompi Awards
[],[],Girl’s War
[],[],2017 KBS Song Festival
[],[],Bing Goo
[],[],Puck
[],[],Fan Heart Attack Idol TV
[],[],2017 MBC Music Festival
Shin Seung-Yeob,Park Jung-Hee,Love Frequency 37.2
[],[],Over the Rainbow
[],[],My Sweet City
[],[],Idol Drama Operation Team
Ko Dong-Sun,Kim In-Young,Merry Mary
[],[],Heroes
[],[],Why Couldn’t You Get Married?
[],[],My Little Kitchen Season 2
[],[],Ballerino
Lee Jae-Gab,"Jung Sung-Hee, Lee Han-Ho",Moon Hee
"Lim Tae-Woo, Kwon Sung-Chan, Kim Kyung-Hee, Lee Dong-Yoon","Yeo Eon-Hee, Choi Yoon-Jung, Kim Soo-Jin",Special Investigation Team
[],[],Fortuneteller’s Secret Recipe
[],[],Light and Shadow
[],[],Hyena on the Keyboard
[],[],Typically Women
[],[],Wanna City
[],[],2018 Changwon K-POP World Festival
[],[],SBS Super Concert in Suwon
Park Sung-Soo,In Jung-Ok,Ruler of Your Own World
[],[],Little Too Crazy
[],[],KPOP WORLD FESTIVAL 2017 in Chan...
[],[],KARA Project
[],[],Before and After: Plastic Surger...
Yoon Yeo-Chang,Kim Eun-Ha,It's Okay Because I Am A Mom
[],[],Big Heat
[],[],Swan Club
[],[],YoGoBaLa
"Kim Dae-Jin, Kang Dae-Sun, Lee Jung-Hyo",Kim Nam-Kyeong,Auction House
[],[],Wanna One Premier Show-Con
Lee Jae-Won,Yoon Young-Mi,Modern Housewives
[],[],Shindong's Kick Service
[],[],DMCF 2018
[],[],My Little Television
[],[],Topp Dogg: All-Kill
[],[],The Road to Seoul
[],[],I Came Alone
[],[],Assembly
[],[],2017 SBS Entertainment Awards
[],[],Ricky Traveling Alone
[],[],2016 DMC Festival
[],[],All Broadcasts of the World
[],[],2017 MBC Entertainment Awards
[],[],Join Us Korea
[],[],LC9's Life of Research
[],[],The Seg 101 Express
